ID,climate_change_perception,tampering,maturity,benefit,cost,risk,trust,emotion,distance,dac_knowledge,storage_knowledge,initial_storage_support,final_storage_support,initial_dac_support,final_dac_support,age,gender,education,occupation,state,trust_in_science,trust_in_politics,trust_in_industry,trust_in_un,trust_in_eu,trust_in_ngos,trust_in_media
100147843,4.75,3.0,3.0,3.0,3.5,3.0,3.7142857142857144,2.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,6.0,1.0,5.0,6.0,10.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0
99281575,4.75,2.0,4.0,3.0,3.5,3.4,4.142857142857143,2.0,1.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,1.0,7.0,2.0,17.0,5.0,4.0,2.0,4.0,5.0,5.0,4.0
99234200,5.0,3.3333333333333335,2.0,1.6666666666666667,3.0,3.2,1.2857142857142858,1.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
99180594,5.0,1.0,2.0,2.3333333333333335,4.5,2.8,2.857142857142857,2.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,1.0,4.0,2.0,2.0,5.0,4.0,1.0,1.0,5.0,3.0,1.0
99164314,5.0,3.0,3.0,3.3333333333333335,4.0,3.0,2.7142857142857144,2.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0
99036645,3.75,1.6666666666666667,3.0,3.6666666666666665,3.0,3.2,2.2857142857142856,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,7.0,2.0,10.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0
99021503,4.75,2.0,2.0,3.6666666666666665,5.0,3.2,3.7142857142857144,1.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,7.0,2.0,2.0,5.0,4.0,1.0,4.0,4.0,5.0,3.0
98920933,5.0,1.6666666666666667,2.0,2.6666666666666665,4.0,3.4,3.0,2.0,4.666666666666667,3.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,4.0,3.0
98906434,5.0,1.3333333333333333,2.0,3.3333333333333335,4.0,3.2,2.7142857142857144,1.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,9.0,4.0,3.0,1.0,2.0,2.0,5.0,2.0
98890393,4.25,3.3333333333333335,2.0,2.3333333333333335,3.0,2.8,2.0,1.0,3.6666666666666665,1.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,5.0,6.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0
98876163,3.0,2.0,3.0,3.6666666666666665,3.5,2.6,1.7142857142857142,2.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,7.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
98850332,4.0,3.0,1.0,1.6666666666666667,3.5,2.8,4.0,1.0,4.333333333333333,1.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,7.0,2.0,10.0,5.0,3.0,2.0,5.0,4.0,5.0,4.0
98835431,5.0,1.0,4.0,4.0,3.5,3.0,2.7142857142857144,2.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0
98815648,5.0,1.3333333333333333,4.0,4.0,3.0,3.6,2.4285714285714284,2.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,7.0,5.0,13.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0
98815470,4.25,1.0,4.0,4.0,3.0,3.0,3.5714285714285716,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,7.0,2.0,7.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0
98814120,5.0,3.0,2.0,1.6666666666666667,3.5,3.4,2.5714285714285716,1.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,5.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,5.0,2.0
98812004,5.0,1.6666666666666667,3.0,4.333333333333333,3.0,2.8,2.5714285714285716,2.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,1.0,6.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0
98809490,5.0,2.0,3.0,3.0,4.0,3.6,3.5714285714285716,1.0,5.0,3.0,2.0,4.0,2.0,5.0,5.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,2.0
98804481,4.75,1.3333333333333333,4.0,5.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,1.0,7.0,1.0,10.0,4.0,2.0,1.0,3.0,2.0,5.0,4.0
98800245,4.75,2.3333333333333335,4.0,4.0,3.5,3.0,2.5714285714285716,2.0,3.3333333333333335,3.0,3.0,2.0,5.0,4.0,4.0,5.0,1.0,4.0,2.0,10.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0
98797961,5.0,3.0,3.0,2.0,4.0,2.6,2.4285714285714284,1.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,6.0,2.0,15.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0
98762503,5.0,3.3333333333333335,3.0,3.3333333333333335,3.5,3.2,2.2857142857142856,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,5.0,2.0,17.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0
98760393,5.0,1.0,4.0,4.666666666666667,4.5,2.4,3.7142857142857144,2.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,6.0,2.0,10.0,5.0,4.0,2.0,4.0,4.0,5.0,2.0
98758919,5.0,2.0,2.0,3.0,4.0,3.2,3.7142857142857144,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,7.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,5.0,2.0
98756787,5.0,2.0,3.0,3.6666666666666665,4.5,2.8,3.0,2.0,2.6666666666666665,3.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,4.0,2.0,5.0,2.0
98754559,4.75,3.0,3.0,3.3333333333333335,4.0,3.0,3.2857142857142856,2.0,3.6666666666666665,3.0,3.0,4.0,3.0,5.0,4.0,2.0,1.0,6.0,5.0,10.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
98748289,4.25,1.6666666666666667,2.0,2.3333333333333335,4.0,3.6,3.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,6.0,2.0,15.0,5.0,2.0,1.0,4.0,4.0,4.0,1.0
98745708,5.0,2.3333333333333335,3.0,2.6666666666666665,4.0,3.4,3.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,16.0,5.0,1.0,2.0,3.0,4.0,4.0,2.0
98742234,5.0,2.3333333333333335,2.0,2.6666666666666665,4.0,3.4,3.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,6.0,7.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0
98741124,3.75,4.0,3.0,3.0,3.0,3.2,2.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,5.0,6.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
98739289,5.0,4.0,1.0,2.0,4.0,2.6,2.5714285714285716,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,7.0,2.0,7.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0
98738513,4.75,2.3333333333333335,3.0,3.6666666666666665,4.0,3.2,3.857142857142857,2.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,6.0,2.0,10.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0
98738185,4.75,2.6666666666666665,3.0,2.3333333333333335,4.0,3.2,2.7142857142857144,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,5.0,2.0,9.0,5.0,2.0,2.0,4.0,1.0,4.0,1.0
98737430,4.25,1.3333333333333333,2.0,2.6666666666666665,2.5,3.2,2.5714285714285716,2.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,7.0,2.0,17.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0
98736776,5.0,2.3333333333333335,4.0,4.333333333333333,4.0,3.2,4.0,2.0,3.6666666666666665,4.0,4.0,2.0,2.0,5.0,5.0,4.0,1.0,6.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
98735442,5.0,1.3333333333333333,3.0,1.0,3.0,3.4,2.5714285714285716,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,7.0,3.0,10.0,5.0,2.0,1.0,3.0,3.0,3.0,1.0
98734690,4.5,2.0,2.0,1.6666666666666667,2.0,3.2,2.2857142857142856,2.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,1.0,7.0,3.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0
98734504,4.5,2.3333333333333335,2.0,3.3333333333333335,3.5,3.2,2.2857142857142856,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,7.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0
98734393,5.0,2.3333333333333335,3.0,3.3333333333333335,4.5,3.0,2.2857142857142856,2.0,2.3333333333333335,4.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,6.0,3.0,17.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0
98733330,4.75,1.0,3.0,4.0,4.0,3.6,3.4285714285714284,2.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,2.0,10.0,4.0,2.0,1.0,5.0,5.0,5.0,2.0
98732452,3.75,2.3333333333333335,3.0,3.3333333333333335,3.5,3.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,10.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0
98731987,5.0,2.0,3.0,3.6666666666666665,3.0,3.0,4.285714285714286,2.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,7.0,5.0,10.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0
98731425,4.75,1.6666666666666667,2.0,2.6666666666666665,4.0,3.2,2.4285714285714284,1.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,6.0,2.0,7.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0
98729653,5.0,2.3333333333333335,3.0,3.3333333333333335,3.0,3.4,3.7142857142857144,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,2.0,1.0,7.0,2.0,10.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0
98729630,5.0,4.0,2.0,1.6666666666666667,5.0,3.6,3.4285714285714284,1.0,3.0,5.0,5.0,3.0,1.0,2.0,4.0,2.0,1.0,7.0,4.0,7.0,5.0,3.0,1.0,4.0,4.0,5.0,2.0
98729312,5.0,3.3333333333333335,3.0,1.3333333333333333,4.0,3.0,2.142857142857143,1.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,6.0,1.0,6.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0
98729088,5.0,2.0,2.0,3.3333333333333335,3.5,3.0,3.2857142857142856,1.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,8.0,4.0,10.0,5.0,1.0,2.0,3.0,4.0,5.0,3.0
98728891,5.0,1.0,3.0,4.333333333333333,3.5,3.2,3.0,2.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,2.0,10.0,5.0,2.0,1.0,3.0,3.0,5.0,2.0
98728067,4.5,1.0,3.0,3.6666666666666665,3.0,3.6,3.4285714285714284,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,1.0,7.0,6.0,10.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0
98726965,5.0,1.0,1.0,3.3333333333333335,4.0,2.8,4.0,2.0,2.3333333333333335,5.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,7.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0
98725610,5.0,2.6666666666666665,2.0,2.3333333333333335,4.0,3.0,3.4285714285714284,1.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,10.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0
98712342,2.5,4.0,3.0,2.3333333333333335,2.5,3.0,2.2857142857142856,1.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,7.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
98701255,4.75,2.6666666666666665,1.0,3.0,3.0,3.4,2.4285714285714284,1.0,4.666666666666667,5.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,9.0,5.0,1.0,1.0,1.0,3.0,4.0,2.0
98699563,5.0,2.6666666666666665,3.0,4.333333333333333,4.0,3.2,3.5714285714285716,2.0,1.6666666666666667,2.0,2.0,5.0,4.0,5.0,4.0,2.0,1.0,5.0,1.0,7.0,5.0,2.0,1.0,4.0,4.0,5.0,4.0
98692894,5.0,2.6666666666666665,4.0,4.0,4.5,3.2,4.428571428571429,2.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,6.0,1.0,7.0,3.0,10.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0
98692343,5.0,1.6666666666666667,4.0,3.0,4.0,3.0,3.2857142857142856,2.0,3.6666666666666665,3.0,2.0,5.0,4.0,5.0,4.0,2.0,2.0,7.0,2.0,2.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0
98692072,5.0,1.6666666666666667,4.0,3.3333333333333335,4.0,2.8,3.142857142857143,2.0,3.6666666666666665,2.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,5.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,5.0,2.0
98692025,5.0,3.3333333333333335,2.0,3.0,3.5,3.2,2.0,1.0,4.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,7.0,2.0,8.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0
98690705,5.0,2.6666666666666665,3.0,3.3333333333333335,4.0,3.0,3.7142857142857144,1.0,2.3333333333333335,3.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,6.0,1.0,14.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0
98688474,4.75,2.3333333333333335,3.0,3.6666666666666665,3.5,3.0,3.142857142857143,2.0,5.0,2.0,1.0,4.0,5.0,4.0,5.0,2.0,2.0,6.0,2.0,5.0,5.0,2.0,2.0,4.0,3.0,4.0,2.0
98687730,4.75,2.0,1.0,2.6666666666666665,4.0,3.2,2.5714285714285716,2.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,7.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,5.0,1.0
98687403,2.75,1.3333333333333333,5.0,5.0,1.5,3.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,7.0,3.0,13.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0
98686338,5.0,4.0,1.0,2.3333333333333335,4.0,2.8,3.142857142857143,1.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,9.0,5.0,2.0,1.0,4.0,2.0,5.0,3.0
